2010-10-25 11:35:54.826700: Successfully scanned file test-data/DNS-data
2010-10-25 11:35:54.826700: Error in formatting - could not add the following records:
Line:44629|+arrow-pc.eecs.qmul.ac.uk:138.37.8^224.94.37.138.in-addr.arpa:enchilada.eecs.qmul.ac.uk.:864008.157:86400|IP address or machine name is invalid.
Line:46551|^_services._dns-sd._udp.dcs.qmul.ac.uk:_http._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46552|^_services._dns-sd._udp.dcs.qmul.ac.uk:_ipp._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46553|^b._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46554|^lb._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46555|^_http._tcp.dcs.qmul.ac.uk:JANET\ Roaming\ Service._http._tcp.dcs.qmul.ac.uk|IP address or machine name is invalid.
2010-10-25 11:35:54.826700|Error|Machine Name: IPv6.QM-end.BUPT-IPv4-in-IPv6-tunnel.core-net.qmul.ac.uk, IP Address: 2001:630:11:f001::1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 6.
2010-10-25 11:35:54.826700|Error|Machine Name: whinberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::c8, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 7.
2010-10-25 11:35:54.826700|Error|Machine Name: appleberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::c9, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 8.
2010-10-25 11:35:54.826700|Error|Machine Name: blueberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::ca, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 9.
2010-10-25 11:35:54.826700|Error|Machine Name: cranberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::cb, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 10.
2010-10-25 11:35:54.826700|Error|Machine Name: dewberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::cc, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 11.
2010-10-25 11:35:54.826700|Error|Machine Name: elderberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::cd, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 12.
2010-10-25 11:35:54.826700|Error|Machine Name: feaberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::ce, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 13.
2010-10-25 11:35:54.826700|Error|Machine Name: gooseberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::cf, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 14.
2010-10-25 11:35:54.826700|Error|Machine Name: huckleberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d0, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 15.
2010-10-25 11:35:54.826700|Error|Machine Name: inkberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 16.
2010-10-25 11:35:54.826700|Error|Machine Name: juneberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d2, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 17.
2010-10-25 11:35:54.826700|Error|Machine Name: keriberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d3, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 18.
2010-10-25 11:35:54.826700|Error|Machine Name: loganberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d4, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 19.
2010-10-25 11:35:54.826700|Error|Machine Name: mulberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d5, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 20.
2010-10-25 11:35:54.826700|Error|Machine Name: naseberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d6, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 21.
2010-10-25 11:35:54.826700|Error|Machine Name: olallieberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d7, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 22.
2010-10-25 11:35:54.826700|Error|Machine Name: partridgeberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d8, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 23.
2010-10-25 11:35:54.826700|Error|Machine Name: queensberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d9, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 24.
2010-10-25 11:35:54.826700|Error|Machine Name: raspberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::d1, DNS type:3AN | could not save to database - This IP address has aleady been assigned to another name, inkberry-lo0.core-net.qmul.ac.uk.
2010-10-25 11:35:54.826700|Error|Machine Name: strawberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::db, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 25.
2010-10-25 11:35:54.826700|Error|Machine Name: tayberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::dc, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 26.
2010-10-25 11:35:54.826700|Error|Machine Name: uberberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::dd, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 27.
2010-10-25 11:35:54.826700|Error|Machine Name: veeberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::de, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 28.
2010-10-25 11:35:54.826700|Error|Machine Name: whortleberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::df, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 29.
2010-10-25 11:35:54.826700|Error|Machine Name: xayaberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e0, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 30.
2010-10-25 11:35:54.826700|Error|Machine Name: youngberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 31.
2010-10-25 11:35:54.826700|Error|Machine Name: zedberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e2, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 32.
